id,code_1c,article,name,brand,остаток,категория
10563,00031784,45352,"Видеоскоп ВС-300 ЗУБР ПРОФЕССИОНАЛ 3,5"" 12мм, 1м ТВ-выход",ЗУБР,1.000,Измерительный инструмент
39290,00043408,70800,"Воронка разборная с гибкой ножкой,с сеточкой",,1.000,"Хозтовары, сад, огород"
6738,00035483,T741263,Гильза для MAKITA 2450 аналог,,1.000,Запчасти к инструменту
6752,00031384,VM-1400-P143A30B,Двигатель универсальный аналог 1400В для WDE1200,,1.000,Запчасти к инструменту
39427,00031198,421838,Движок для снега СИБИН ДС-750 стальной  750 мм.,СИБИН,1.000,На модерацию
10631,00036056,34704,Держатель клипса универсальный шарнирный KRAFTOOL MM2,KRAFTOOL,1.000,Измерительный инструмент
10632,00032148,34708,Держатель многофункциональный KRAFTOOL BM1,KRAFTOOL,1.000,Измерительный инструмент
10633,00036057,34706,Держатель с микролифтом KRAFTOOL MM1,KRAFTOOL,1.000,Измерительный инструмент
10659,00037518,61/10/534,Детоектор металла ДМ-100 РЕСАНТА,РЕСАНТА,1.000,Измерительный инструмент
10658,00037519,61/10/533,Детоектор металла ДМ- 50 РЕСАНТА,РЕСАНТА,1.000,Измерительный инструмент
10661,00030441,,Дизельный адаптер TRISCO DB-001,,1.000,Измерительный инструмент
39465,00005532,,Дистиллятор Магарыч 12л,,1.000,"Хозтовары, сад, огород"
32100,00001011,70860,Захват магнитный телескопический 60см,,1.000,Слесарно-столярный инструмент
8406,00020559,615-37181-20,Защитный чехол лезвий 615-37181-20,,1.000,Запчасти Hitachi
10681,00002204,,Индикатор магнитного и электрического полей RADEX,,1.000,Измерительный инструмент
10687,00002203,,Индикатор радиоактивного газа радон SIRAD MR-106N,,1.000,Измерительный инструмент
10698,00012595,,Индикатор час.типа ИЧ 0-2 0.01мм,,1.000,Измерительный инструмент
24114,00009983,55470-100,"Канифоль для паяльных работ, 100 г. ЗУБР",ЗУБР,1.000,Электрика и освещение
24115,00005853,55470-020,"Канифоль для паяльных работ,20 г. ЗУБР",ЗУБР,1.000,Электрика и освещение
30882,00016726,ЦСТ-ОБКМ16,Клапан обратный ОБК - кислород М16,,1.000,Сварочное оборудование
10812,00038225,34756,Колесо измерительное KRAFTOOL,KRAFTOOL,1.000,Измерительный инструмент
10813,00038224,34191,Колесо измерительное STAYER ProControl,STAYER,1.000,Измерительный инструмент
40305,00027142,,"Крем для рук универсальный ""ЭЛЕН"", 100мл",,1.000,"Хозтовары, сад, огород"
40417,00039328,21959-1,"Ледоруб СИБИН 2,6кг 175х1500мм",СИБИН,1.000,На модерацию
40418,00039286,21959-2,"Ледоруб СИБИН 3,2кг 175х1500мм",СИБИН,1.000,На модерацию
10819,00043557,3415-10,Лента мерная 10м с фиберглассовым полотном STAYER,STAYER,1.000,Измерительный инструмент
10820,00043558,3415-20,Лента мерная 20м с фиберглассовым полотном STAYER,STAYER,1.000,Измерительный инструмент
